date,redemptions
2025-02-24,21
2025-02-25,708
2025-02-26,945
2025-02-27,662
2025-02-28,682
2025-03-01,608
2025-03-02,535
2025-03-03,800
2025-03-04,712
2025-03-05,701
2025-03-06,646
2025-03-07,935
2025-03-08,1105
2025-03-09,978
2025-03-10,1160
2025-03-11,1141
2025-03-12,509
2025-03-13,838
2025-03-14,1244
2025-03-15,1205
2025-03-16,597
2025-03-17,974
2025-03-18,1098
2025-03-19,1518
2025-03-20,669
2025-03-21,1300
2025-03-22,973
2025-03-23,1012
2025-03-24,666
2025-03-25,710
2025-03-26,802
2025-03-27,1195
2025-03-28,711
2025-03-29,457
2025-03-30,349
2025-03-31,1057
2025-04-01,984
2025-04-02,649
2025-04-03,1483
2025-04-04,1472
2025-04-05,588
2025-04-06,1608
2025-04-07,898
2025-04-08,506
2025-04-09,1232
2025-04-10,699
2025-04-11,834
2025-04-12,1642
2025-04-13,3752
2025-04-14,1419
2025-04-15,972
2025-04-16,1084
2025-04-17,3367
2025-04-18,2794
2025-04-19,4498
2025-04-20,4523
2025-04-21,886
2025-04-22,2162
2025-04-23,2176
2025-04-24,2721
2025-04-25,1505
2025-04-26,2181
2025-04-27,5510
2025-04-28,2817
2025-04-29,1750
2025-04-30,2058
2025-05-01,952
2025-05-02,2718
2025-05-03,3329
2025-05-04,3147
2025-05-05,1527
2025-05-06,2274
2025-05-07,3180
2025-05-08,1958
2025-05-09,3198
2025-05-10,9415
2025-05-11,6725
2025-05-12,4792
2025-05-13,1422
2025-05-14,1518
2025-05-15,2642
2025-05-16,4839
2025-05-17,5235
2025-05-18,11242
2025-05-19,12436
2025-05-20,2604
2025-05-21,749
2025-05-22,946
2025-05-23,1738
2025-05-24,4049
2025-05-25,4246
2025-05-26,4529
2025-05-27,3640
2025-05-28,1739
2025-05-29,2029
2025-05-30,3907
2025-05-31,4129
2025-06-01,6041
2025-06-02,4875
2025-06-03,5541
2025-06-04,5806
2025-06-05,2573
2025-06-06,5983
2025-06-07,16369
2025-06-08,9180
2025-06-09,2619
2025-06-10,4327
2025-06-11,7362
2025-06-12,5318
2025-06-13,4839
2025-06-14,15273
2025-06-15,16634
2025-06-16,5912
2025-06-17,5309
2025-06-18,2633
2025-06-19,3552
2025-06-20,8006
2025-06-21,12639
2025-06-22,14508
2025-06-23,7601
