timestamp,predicted_redemption_count,predicted_sales_count,temp,prcp,wspd,rhum,hour_of_day,day_of_week,date
2026-02-25 20:00:00,3,3,-4.3,0.0,31.7,65.0,20,2,2026-02-25
2026-02-25 21:00:00,12,3,-4.5,0.0,31.7,65.0,21,2,2026-02-25
2026-02-25 22:00:00,1,6,-4.8,0.0,28.1,66.0,22,2,2026-02-25
2026-02-25 23:00:00,0,1,-5.1,0.0,27.7,72.0,23,2,2026-02-25
2026-02-26 00:00:00,0,1,-5.6,0.0,29.5,72.0,0,3,2026-02-26
2026-02-26 01:00:00,0,1,-6.6,0.0,28.1,71.0,1,3,2026-02-26
2026-02-26 02:00:00,0,1,-7.6,0.0,25.6,72.0,2,3,2026-02-26
2026-02-26 03:00:00,0,2,-8.2,0.0,25.9,71.0,3,3,2026-02-26
2026-02-26 04:00:00,0,2,-8.6,0.0,26.6,72.0,4,3,2026-02-26
2026-02-26 05:00:00,1,3,-8.8,0.0,23.8,74.0,5,3,2026-02-26
2026-02-26 06:00:00,22,8,-8.9,0.0,22.0,73.0,6,3,2026-02-26
2026-02-26 07:00:00,35,18,-8.7,0.0,19.4,71.0,7,3,2026-02-26
2026-02-26 08:00:00,44,48,-8.6,0.0,15.5,72.0,8,3,2026-02-26
2026-02-26 09:00:00,35,47,-7.5,0.0,15.8,76.0,9,3,2026-02-26
2026-02-26 10:00:00,7,12,-6.6,0.0,17.6,77.0,10,3,2026-02-26
2026-02-26 11:00:00,8,21,-5.7,0.0,18.7,73.0,11,3,2026-02-26
2026-02-26 12:00:00,4,8,-5.2,0.0,18.4,71.0,12,3,2026-02-26
2026-02-26 13:00:00,49,22,-4.8,0.0,19.1,71.0,13,3,2026-02-26
2026-02-26 14:00:00,48,8,-4.6,0.0,18.7,71.0,14,3,2026-02-26
2026-02-26 15:00:00,28,89,-4.5,0.0,17.6,70.0,15,3,2026-02-26
2026-02-26 16:00:00,39,21,-4.4,0.0,15.5,71.0,16,3,2026-02-26
2026-02-26 17:00:00,34,28,-4.6,0.0,15.5,72.0,17,3,2026-02-26
2026-02-26 18:00:00,26,3,-5.5,0.0,14.8,74.0,18,3,2026-02-26
2026-02-26 19:00:00,13,7,-6.4,0.0,15.5,74.0,19,3,2026-02-26
