date,tmax,tmin,precip_mm,rain_mm,snow_cm,wind_max_kmh,is_forecast
2015-05-01,15.0,5.5,0.0,0.0,0.0,14.0,0
2015-05-02,12.5,5.6,0.0,0.0,0.0,15.0,0
2015-05-03,12.6,6.5,0.0,0.0,0.0,18.1,0
2015-05-04,12.7,7.9,0.7,0.7,0.0,22.1,0
2015-05-05,8.8,5.3,0.0,0.0,0.0,12.6,0
2015-05-06,10.8,5.1,0.0,0.0,0.0,11.5,0
2015-05-07,11.9,6.1,0.0,0.0,0.0,11.7,0
2015-05-08,14.1,9.2,0.0,0.0,0.0,11.9,0
2015-05-09,16.6,10.7,0.0,0.0,0.0,13.3,0
2015-05-10,15.3,8.1,0.6,0.6,0.0,11.0,0
2015-05-11,10.8,6.5,4.8,4.8,0.0,14.4,0
2015-05-12,12.5,9.1,4.8,4.8,0.0,28.5,0
2015-05-13,8.7,6.8,0.0,0.0,0.0,24.3,0
2015-05-14,9.3,5.1,0.0,0.0,0.0,12.8,0
2015-05-15,9.1,6.9,1.8,1.8,0.0,16.0,0
2015-05-16,18.1,7.4,0.0,0.0,0.0,14.4,0
2015-05-17,10.7,8.7,0.0,0.0,0.0,12.9,0
2015-05-18,16.3,9.1,0.0,0.0,0.0,17.6,0
2015-05-19,13.6,6.9,0.0,0.0,0.0,22.9,0
2015-05-20,11.8,5.0,0.0,0.0,0.0,22.2,0
2015-05-21,13.5,8.1,0.0,0.0,0.0,14.4,0
2015-05-22,11.4,7.3,0.0,0.0,0.0,25.0,0
2015-05-23,14.4,5.3,0.0,0.0,0.0,17.4,0
2015-05-24,17.0,10.7,0.0,0.0,0.0,16.6,0
2015-05-25,18.7,10.5,0.5,0.5,0.0,23.7,0
2015-05-26,17.9,14.0,0.0,0.0,0.0,22.2,0
2015-05-27,19.1,14.9,1.9,1.9,0.0,28.7,0
2015-05-28,20.0,13.0,0.0,0.0,0.0,20.6,0
2015-05-29,16.6,11.6,0.0,0.0,0.0,15.8,0
2015-05-30,19.4,13.7,15.6,15.6,0.0,21.2,0
2015-05-31,13.3,8.2,27.3,27.3,0.0,26.4,0
2015-06-01,11.6,8.8,0.0,0.0,0.0,16.8,0
2015-06-02,12.5,9.4,0.0,0.0,0.0,11.3,0
2015-06-03,12.9,9.8,0.0,0.0,0.0,16.5,0
2015-06-04,14.1,10.0,0.0,0.0,0.0,15.5,0
2015-06-05,19.3,11.7,10.2,10.2,0.0,19.5,0
2015-06-06,15.0,11.3,0.0,0.0,0.0,20.3,0
2015-06-07,17.2,10.8,2.6,2.6,0.0,18.4,0
2015-06-08,17.5,15.8,25.3,25.3,0.0,22.2,0
2015-06-09,18.5,14.7,6.2,6.2,0.0,13.7,0
2015-06-10,21.3,14.0,0.4,0.4,0.0,29.5,0
2015-06-11,20.3,13.6,0.0,0.0,0.0,17.7,0
2015-06-12,15.3,13.1,11.8,11.8,0.0,19.4,0
2015-06-13,16.9,12.8,0.0,0.0,0.0,11.3,0
2015-06-14,15.3,14.0,14.4,14.4,0.0,14.7,0
2015-06-15,19.1,14.6,0.2,0.2,0.0,8.4,0
2015-06-16,21.6,17.3,4.8,4.8,0.0,20.9,0
2015-06-17,16.7,14.5,0.0,0.0,0.0,17.1,0
2015-06-18,21.4,13.2,1.6,1.6,0.0,14.4,0
2015-06-19,17.6,14.7,2.5,2.5,0.0,16.0,0
2015-06-20,16.5,14.0,0.0,0.0,0.0,13.5,0
2015-06-21,22.0,15.5,1.8,1.8,0.0,19.9,0
2015-06-22,20.6,15.8,1.6,1.6,0.0,18.4,0
2015-06-23,20.5,16.6,15.5,15.5,0.0,29.6,0
2015-06-24,22.0,13.8,0.0,0.0,0.0,15.9,0
2015-06-25,19.0,16.6,0.6,0.6,0.0,10.4,0
2015-06-26,18.9,16.0,0.3,0.3,0.0,12.9,0
2015-06-27,17.8,14.9,21.5,21.5,0.0,31.3,0
2015-06-28,15.3,13.3,9.2,9.2,0.0,30.1,0
2015-06-29,19.8,14.5,0.5,0.5,0.0,13.0,0
2015-06-30,18.6,16.3,2.5,2.5,0.0,18.2,0
2015-07-01,20.5,16.2,1.1,1.1,0.0,20.6,0
2015-07-02,19.4,14.2,0.0,0.0,0.0,12.8,0
2015-07-03,19.1,13.8,0.0,0.0,0.0,13.3,0
2015-07-04,21.2,15.1,0.0,0.0,0.0,8.6,0
2015-07-05,21.8,16.3,0.0,0.0,0.0,15.1,0
2015-07-06,20.8,18.5,0.0,0.0,0.0,16.3,0
2015-07-07,24.3,17.0,10.8,10.8,0.0,24.9,0
2015-07-08,18.8,15.2,0.0,0.0,0.0,20.5,0
2015-07-09,19.9,17.0,0.0,0.0,0.0,7.4,0
2015-07-10,23.7,16.0,0.0,0.0,0.0,12.1,0
2015-07-11,24.8,17.6,0.0,0.0,0.0,12.5,0
2015-07-12,23.0,18.5,0.0,0.0,0.0,13.2,0
2015-07-13,22.7,19.4,0.0,0.0,0.0,17.0,0
2015-07-14,21.6,20.2,20.0,20.0,0.0,18.2,0
2015-07-15,20.8,14.4,0.0,0.0,0.0,26.7,0
2015-07-16,19.5,16.0,0.0,0.0,0.0,13.7,0
2015-07-17,21.9,17.5,8.3,8.3,0.0,17.1,0
2015-07-18,25.7,21.0,0.4,0.4,0.0,13.8,0
2015-07-19,26.3,22.5,3.2,3.2,0.0,17.3,0
2015-07-20,25.3,19.1,0.0,0.0,0.0,17.2,0
2015-07-21,23.3,19.5,0.6,0.6,0.0,22.7,0
2015-07-22,22.5,16.9,0.0,0.0,0.0,20.5,0
2015-07-23,24.0,16.4,0.0,0.0,0.0,13.1,0
2015-07-24,25.6,16.7,0.0,0.0,0.0,9.7,0
2015-07-25,26.1,20.5,1.4,1.4,0.0,20.3,0
2015-07-26,24.4,19.0,0.0,0.0,0.0,12.0,0
2015-07-27,26.4,20.1,0.0,0.0,0.0,10.7,0
2015-07-28,26.9,20.3,0.0,0.0,0.0,9.4,0
2015-07-29,26.6,22.6,0.0,0.0,0.0,17.8,0
2015-07-30,26.5,22.5,0.3,0.3,0.0,24.5,0
2015-07-31,26.6,19.1,0.0,0.0,0.0,20.6,0
2015-08-01,24.1,18.7,0.2,0.2,0.0,17.6,0
2015-08-02,25.7,18.7,0.0,0.0,0.0,25.5,0
2015-08-03,24.7,19.4,0.6,0.6,0.0,28.4,0
2015-08-04,23.9,18.4,1.5,1.5,0.0,19.7,0
2015-08-05,22.2,16.7,0.0,0.0,0.0,20.3,0
2015-08-06,22.3,15.7,0.0,0.0,0.0,10.5,0
2015-08-07,20.6,17.6,0.0,0.0,0.0,15.6,0
2015-08-08,20.1,18.6,0.0,0.0,0.0,16.6,0
2015-08-09,21.1,17.3,0.0,0.0,0.0,13.3,0
2015-08-10,22.4,18.2,21.4,21.4,0.0,10.5,0
2015-08-11,22.6,18.9,5.4,5.4,0.0,17.9,0
2015-08-12,21.5,17.3,0.0,0.0,0.0,20.5,0
2015-08-13,23.3,15.2,0.0,0.0,0.0,17.4,0
2015-08-14,24.5,20.6,1.0,1.0,0.0,19.1,0
2015-08-15,24.6,19.9,0.4,0.4,0.0,8.1,0
2015-08-16,26.8,21.8,0.0,0.0,0.0,16.3,0
2015-08-17,27.3,21.5,0.0,0.0,0.0,14.7,0
2015-08-18,23.8,21.7,0.1,0.1,0.0,13.8,0
2015-08-19,25.6,22.2,0.0,0.0,0.0,17.2,0
2015-08-20,24.4,20.8,11.1,11.1,0.0,23.1,0
2015-08-21,21.5,17.7,0.2,0.2,0.0,15.9,0
2015-08-22,21.9,16.0,0.0,0.0,0.0,10.7,0
2015-08-23,21.9,19.2,0.0,0.0,0.0,16.9,0
2015-08-24,21.8,18.2,3.7,3.7,0.0,20.0,0
2015-08-25,19.4,16.5,0.0,0.0,0.0,13.6,0
2015-08-26,19.2,15.7,0.0,0.0,0.0,16.3,0
2015-08-27,19.3,15.5,0.3,0.3,0.0,12.9,0
2015-08-28,21.0,15.4,0.0,0.0,0.0,11.0,0
2015-08-29,21.8,17.4,0.5,0.5,0.0,8.9,0
2015-08-30,22.2,19.8,0.0,0.0,0.0,9.8,0
2015-08-31,26.2,19.8,0.0,0.0,0.0,12.7,0
2015-09-01,24.6,18.1,0.0,0.0,0.0,11.2,0
2015-09-02,26.0,18.6,0.0,0.0,0.0,8.7,0
2015-09-03,25.0,21.9,0.1,0.1,0.0,9.8,0
2015-09-04,22.6,21.0,0.0,0.0,0.0,21.3,0
2015-09-05,24.6,19.2,0.0,0.0,0.0,14.8,0
2015-09-06,26.9,21.0,0.2,0.2,0.0,11.0,0
2015-09-07,28.5,22.6,0.0,0.0,0.0,20.4,0
2015-09-08,27.0,21.5,2.8,2.8,0.0,18.9,0
2015-09-09,25.0,19.5,1.0,1.0,0.0,17.1,0
2015-09-10,20.9,16.9,0.0,0.0,0.0,12.7,0
2015-09-11,21.5,16.3,5.3,5.3,0.0,19.0,0
2015-09-12,15.8,13.9,20.6,20.6,0.0,22.1,0
2015-09-13,14.6,13.3,15.9,15.9,0.0,23.5,0
2015-09-14,21.6,12.7,0.0,0.0,0.0,17.4,0
2015-09-15,23.8,16.0,0.0,0.0,0.0,15.7,0
2015-09-16,24.5,18.0,0.0,0.0,0.0,13.3,0
2015-09-17,24.8,18.7,0.0,0.0,0.0,15.4,0
2015-09-18,23.9,19.4,0.6,0.6,0.0,18.8,0
2015-09-19,22.8,15.4,11.0,11.0,0.0,30.2,0
2015-09-20,16.9,12.8,0.0,0.0,0.0,15.6,0
2015-09-21,18.1,15.6,0.0,0.0,0.0,17.7,0
2015-09-22,19.5,15.5,0.0,0.0,0.0,11.8,0
2015-09-23,21.0,14.3,0.0,0.0,0.0,7.7,0
2015-09-24,19.6,17.2,0.0,0.0,0.0,14.6,0
2015-09-25,18.4,16.5,0.0,0.0,0.0,16.2,0
2015-09-26,16.8,14.5,0.0,0.0,0.0,16.0,0
2015-09-27,19.7,16.2,0.0,0.0,0.0,14.5,0
2015-09-28,20.7,18.5,0.1,0.1,0.0,17.4,0
2015-09-29,20.6,17.4,3.1,3.1,0.0,19.9,0
2015-09-30,17.0,13.3,0.5,0.5,0.0,24.3,0
